session_id;session_title;first_speaker;track;session_type;experience_Level;session_abstract
1492670983774001k2Sv;“So, What Are They Talking About Now?”: Visual Topic Analysis with Graph ;As data sources become more and more numerous, value is extracted via recognition of the relationships and patterns between them. An example is topic modeling: a company may, for example, want to get the most-important topics in customer support requests and track those topics over time. This tutorial uses a graph-based approach on a dataset from an online forum. Graph representation of the dataset naturally reveals relationships and patterns between data elements as well as their clustering. Also, visualizing the data as a graph can give new insights into what has been discovered. The session also uses modern notebook technology. The user can program the analysis pipeline with JVM languages remotely within a browser. ;Hassan Chafi;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Tutorial;Introductory;As data sources become more and more numerous, value is extracted via recognition of the relationships and patterns between them. An example is topic modeling: a company may, for example, want to get the most-important topics in customer support requests and track those topics over time. This tutorial uses a graph-based approach on a dataset from an online forum. Graph representation of the dataset naturally reveals relationships and patterns between data elements as well as their clustering. Also, visualizing the data as a graph can give new insights into what has been discovered. The session also uses modern notebook technology. The user can program the analysis pipeline with JVM languages remotely within a browser. 
1492779358494001ks44;Adventures with Higher-Order Types in a Purely Functional Language;The Frege project brings Haskell and its extreme type system to the JVM. These types can express higher-order constructs that would otherwise require annotations, extra tooling, or design patterns. This session explores the use of higher-rank and higher-kinded types and shows how they can provide new guarantees at compile time. We can disallow side effects in calls to software transactional memory (STM). We can make sure that JavaFX components are ever touched only in the UI thread. We can assert that parallel computations change no state. Let’s explore these benefits and how knowing the very foundations of computational science can change your programming style.;Dierk Koenig;Emerging Languages;Tutorial;Intermediate;The Frege project brings Haskell and its extreme type system to the JVM. These types can express higher-order constructs that would otherwise require annotations, extra tooling, or design patterns. This session explores the use of higher-rank and higher-kinded types and shows how they can provide new guarantees at compile time. We can disallow side effects in calls to software transactional memory (STM). We can make sure that JavaFX components are ever touched only in the UI thread. We can assert that parallel computations change no state. Let’s explore these benefits and how knowing the very foundations of computational science can change your programming style.
1492680434398001jcuk;Baking a Java EE 8 Micro Pi;Microservices are already a popular architecture for new applications, particularly with the modern need for applications to be cloud-native and light enough for the Internet of Things. One of the key challenges of breaking up monoliths into microservices is orchestration. This tutorial looks at some of the brand-new features and APIs in Java EE 8 that can help and presents an interactive Raspberry Pi-based demo that shows how easily messaging can be made cloud-ready with JCA connectors.;Ondrej Mihalyi;Java, Cloud, and Server-Side Development;Tutorial;Introductory;Microservices are already a popular architecture for new applications, particularly with the modern need for applications to be cloud-native and light enough for the Internet of Things. One of the key challenges of breaking up monoliths into microservices is orchestration. This tutorial looks at some of the brand-new features and APIs in Java EE 8 that can help and presents an interactive Raspberry Pi-based demo that shows how easily messaging can be made cloud-ready with JCA connectors.
1492712048741001kFVu;Free Your Lambdas;Lambdas can be used in many places and in many ways. This tutorial session shows how lambdas and functional interfaces can be used to create new APIs and implement well-known patterns. It starts at the very beginning: how to write a lambda from an instance of an anonymous class. Then it shows some of the new methods added to the Collection API that leverage lambdas and default methods in interfaces, allowing for the addition of new methods while improving performance. The presentation also covers how functional interfaces have been used to create new APIs, mainly on real examples from the JDK. Finally, it shows how well-known patterns can be implemented with lambdas, leading to cleaner and more robust code.;José Paumard;Core Java Platform;Tutorial;Introductory;Lambdas can be used in many places and in many ways. This tutorial session shows how lambdas and functional interfaces can be used to create new APIs and implement well-known patterns. It starts at the very beginning: how to write a lambda from an instance of an anonymous class. Then it shows some of the new methods added to the Collection API that leverage lambdas and default methods in interfaces, allowing for the addition of new methods while improving performance. The presentation also covers how functional interfaces have been used to create new APIs, mainly on real examples from the JDK. Finally, it shows how well-known patterns can be implemented with lambdas, leading to cleaner and more robust code.
1492764737203001085Z;Managing Microservices with Terraform, Docker, and the Cloud;Much has been written about how to write microservices but not enough about how to effectively deploy and manage them. Microservices architecture multiplies the number of deployables IT has to manage by at least 10x. Terraform and Docker are increasingly being leveraged to facilitate microservice environments. Terraform has become the leading coding framework for building and managing change in cloud environments. In this tutorial, learn best practices for deploying and managing microservices in cloud environments. It leverages true “infrastructure as code,” using Terraform. That code makes it easy to deploy and scale software including Docker images. The session is targeted at architects and team leads.;Derek Ashmore;Java, Cloud, and Server-Side Development;Tutorial;Intermediate;Much has been written about how to write microservices but not enough about how to effectively deploy and manage them. Microservices architecture multiplies the number of deployables IT has to manage by at least 10x. Terraform and Docker are increasingly being leveraged to facilitate microservice environments. Terraform has become the leading coding framework for building and managing change in cloud environments. In this tutorial, learn best practices for deploying and managing microservices in cloud environments. It leverages true “infrastructure as code,” using Terraform. That code makes it easy to deploy and scale software including Docker images. The session is targeted at architects and team leads.
1492891282691001gpJo;Rapid Development Tools for Java EE 8;The NetBeans IDE brings the speed of enterprise applications development to a new level. You can create a fully operational Java EE 8 application in a few minutes from scratch, and you can select the technologies based on preferences such as JAX-RS 2.1, JSON-B, JPA, JAXB, Security API, JWT, CDI, Bean Validation 2.0, Swagger, MVC 1.0, Angular, Payara, Docker, Arquillian, and jUnit 5. The solution features a rich web UI, business logic, security, a REST API, and more. Don’t miss this session if you are serious about saving time.;Mert Caliskan;Java Development Tools;Tutorial;Intermediate;The NetBeans IDE brings the speed of enterprise applications development to a new level. You can create a fully operational Java EE 8 application in a few minutes from scratch, and you can select the technologies based on preferences such as JAX-RS 2.1, JSON-B, JPA, JAXB, Security API, JWT, CDI, Bean Validation 2.0, Swagger, MVC 1.0, Angular, Payara, Docker, Arquillian, and jUnit 5. The solution features a rich web UI, business logic, security, a REST API, and more. Don’t miss this session if you are serious about saving time.
1494198846083001UUOK;Journey’s End: Collection and Reduction in the Streams API;For streams to do useful work, they must end in a terminal operation. Most often that will be a collector, a new kind of operation invented for the Streams API. To use streams effectively, you need to understand how collectors work, what predefined collectors are available, and the factors that affect collector performance. This deep dive into the Collectors API explores the many predefined collectors and how to combine them for added power. You’ll do practical work, learning how to choose the right composition of collectors to solve practical programming problems. And you’ll see the difference between collection and reduction, how to recognize when you need to write your own collector, and the principles and rules for doing that.;Maurice Naftalin;Core Java Platform;Tutorial;Intermediate;For streams to do useful work, they must end in a terminal operation. Most often that will be a collector, a new kind of operation invented for the Streams API. To use streams effectively, you need to understand how collectors work, what predefined collectors are available, and the factors that affect collector performance. This deep dive into the Collectors API explores the many predefined collectors and how to combine them for added power. You’ll do practical work, learning how to choose the right composition of collectors to solve practical programming problems. And you’ll see the difference between collection and reduction, how to recognize when you need to write your own collector, and the principles and rules for doing that.
1497013440585001CPVf;A Practical Guide to Cloud-Native Java Apps and Continuous Delivery;This session shows how to get started with getting a simple Java app to run on  Kubernetes in minutes, make changes on your workstation, and deploying it onto a Kubernetes cluster instantly. It then introduces concepts of continuous delivery, focusing on monitoring the app with Prometheus. Having shown a simple app, the presentation follows up with a complete microservices demo app, a sock shop that uses Spring as well as non-Java services (including Node.js and Go).;Ilya Dmitrichenko;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Tutorial;Introductory;This session shows how to get started with getting a simple Java app to run on  Kubernetes in minutes, make changes on your workstation, and deploying it onto a Kubernetes cluster instantly. It then introduces concepts of continuous delivery, focusing on monitoring the app with Prometheus. Having shown a simple app, the presentation follows up with a complete microservices demo app, a sock shop that uses Spring as well as non-Java services (including Node.js and Go).
14945781523240017TAs;Simplified and Fast Fraud Detection;This session demonstrates how, using SQL pattern matching techniques, you can speed up searching for fraudulent events within unstructured data, such as JSON files, compared to using other programming languages. As part of the presentation, a live demo reviews a specific business use case from financial services and provides conceptual simplified SQL to solve an evolving set of business requirements. You’ll see a simple five-step framework for constructing pattern-matching queries, and a live demonstration shows how easy it is to write and amend SQL-based pattern queries, compared to other programming languages.;Keith Laker;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Tutorial;Intermediate;This session demonstrates how, using SQL pattern matching techniques, you can speed up searching for fraudulent events within unstructured data, such as JSON files, compared to using other programming languages. As part of the presentation, a live demo reviews a specific business use case from financial services and provides conceptual simplified SQL to solve an evolving set of business requirements. You’ll see a simple five-step framework for constructing pattern-matching queries, and a live demonstration shows how easy it is to write and amend SQL-based pattern queries, compared to other programming languages.
1498574182891001k21t;Refactoring to Functional Style;In Java we've programmed with the imperative style for a few decades now. With Java 8, we can also code in functional style, which has several benefits: concise code that’s more expressive, easier to understand, and easier to change. But the transition from imperative to functional style is a hard journey. It’s not as much an issue of getting comfortable with the syntax—it’s the challenge of thinking functionally. What better way to learn that transition than taking imperative code and refactoring it to a more functional style. This presentation starts with multiple code examples written in imperative style and shows how to approach refactoring them to functional style.;Venkat Subramaniam;Core Java Platform;Conference Session;Introductory;In Java we've programmed with the imperative style for a few decades now. With Java 8, we can also code in functional style, which has several benefits: concise code that’s more expressive, easier to understand, and easier to change. But the transition from imperative to functional style is a hard journey. It’s not as much an issue of getting comfortable with the syntax—it’s the challenge of thinking functionally. What better way to learn that transition than taking imperative code and refactoring it to a more functional style. This presentation starts with multiple code examples written in imperative style and shows how to approach refactoring them to functional style.
1498574555090001Be6V;Twelve Ways to Make Code Suck Less;We all have seen our share of bad code and some really good code as well. What are some of the common antipatterns that seem to be recurring over and over in code that sucks? By learning about these code smells and avoiding them, we can greatly help make our code better. Come to this session to learn about some common code smells and how to improve the quality of code.;Venkat Subramaniam;Core Java Platform;Conference Session;Introductory;We all have seen our share of bad code and some really good code as well. What are some of the common antipatterns that seem to be recurring over and over in code that sucks? By learning about these code smells and avoiding them, we can greatly help make our code better. Come to this session to learn about some common code smells and how to improve the quality of code.
1498573747781001kQIG;Java 8 Programming Idioms;Several developers and organizations are beginning to make use of Java 8. With anything that’s new, we often learn it the hard way. By stepping back and taking a look at programming style as idioms, we can quickly gravitate toward better coding style and also avoid some common traps we often get drawn toward. Learn more in this session.;Venkat Subramaniam;Core Java Platform;Conference Session;Intermediate;Several developers and organizations are beginning to make use of Java 8. With anything that’s new, we often learn it the hard way. By stepping back and taking a look at programming style as idioms, we can quickly gravitate toward better coding style and also avoid some common traps we often get drawn toward. Learn more in this session.
1497776110080001uaIr;Developer Advocate Amotivational Syndrome;Having been a dev advocate for more than 10 years and at a range of companies, this session’s speaker talks about things that have killed his zest for his job. He covers examples from the small things up to the things that end up either leading to quitting or maybe even changing careers. ;Steven Pousty;Developer Community Day: Developer Relations;Conference Session;Introductory;Having been a dev advocate for more than 10 years and at a range of companies, this session’s speaker talks about things that have killed his zest for his job. He covers examples from the small things up to the things that end up either leading to quitting or maybe even changing careers. 
1505401671852001d3PS;Opening Up Java EE: Panel Discussion with Oracle, IBM, Red Hat, and the Eclipse Foundation;Oracle, in partnership with IBM and Red Hat, has announced its intention to move Java EE technologies to the Eclipse Foundation, following the delivery and completion of Java EE 8. Attend this session to hear from representatives of Oracle, IBM, Red Hat, and the Eclipse Foundation on the status of the project, what to expect over the next three to six months, and how this will benefit the Java EE community. Come learn how you can participate.;Mark Little;Java, Cloud, and Server-Side Development;Conference Session;Introductory;Oracle, in partnership with IBM and Red Hat, has announced its intention to move Java EE technologies to the Eclipse Foundation, following the delivery and completion of Java EE 8. Attend this session to hear from representatives of Oracle, IBM, Red Hat, and the Eclipse Foundation on the status of the project, what to expect over the next three to six months, and how this will benefit the Java EE community. Come learn how you can participate.
1506051272965001dxnT;The Influential Engineer: Overcoming Resistance to Change;By the end of this conference, you will have learned about many new tools and technologies. The easy part is done—now for the hard part: getting the rest of the team and management on board with the new ideas. Easier said than done. Whether you want to effect culture change in your organization, lead the transition toward a new technology, or simply ask for better tools, you must first understand that having a “good idea” is just the beginning. How can you dramatically increase your odds of success? You will learn 12 concrete strategies to build consensus within your team as well as 6 techniques to dramatically increase the odds that the other person will say “Yes” to your requests.;Michael Carducci;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Conference Session;Intermediate;By the end of this conference, you will have learned about many new tools and technologies. The easy part is done—now for the hard part: getting the rest of the team and management on board with the new ideas. Easier said than done. Whether you want to effect culture change in your organization, lead the transition toward a new technology, or simply ask for better tools, you must first understand that having a “good idea” is just the beginning. How can you dramatically increase your odds of success?You will learn 12 concrete strategies to build consensus within your team as well as 6 techniques to dramatically increase the odds that the other person will say “Yes” to your requests.
1506928380991001AuKh;Deep Learning for Enterprise With Skymind's Deeplearning4j;Deep learning is capable of state-of-the-art accuracy on many machine perception tasks, like image recognition and anomaly detection. But data science teams have trouble shipping their work to production. Deeplearning4j makes it easy to build robust data pipelines, train deep learning models quickly, and deploy them to production environments. With its enterprise distribution, the Skymind Intelligence Layer, Skymind helps large organizations increase the productivity of their data science teams on top of their existing stack to create create high-throughput AI solutions. ;Chris Nicholson;Core Java Platform;Conference Session;Introductory;Deep learning is capable of state-of-the-art accuracy on many machine perception tasks, like image recognition and anomaly detection. But data science teams have trouble shipping their work to production. Deeplearning4j makes it easy to build robust data pipelines, train deep learning models quickly, and deploy them to production environments. With its enterprise distribution, the Skymind Intelligence Layer, Skymind helps large organizations increase the productivity of their data science teams on top of their existing stack to create create high-throughput AI solutions. 
1505254317854001aKAl;Five Killer Tricks to Make Your Java Web App Look Awesome;Java developers are often frustrated with the results they get when trying to design web apps. In the words of Java Champion Bruno Souza, “we always do ugly things... always.” In this session learn a five-step lesson on how to get from a blank page to a fully responsive, mobile-first, accessible dashboard ready to use on enterprise applications. And discover how to apply it on your existing Java web codebase. The session also covers how to use Bootstrap, the world’s most popular front-end component library, and explores Patternfly, a Bootstrap-based UI framework for enterprise web applications. Come away understanding how to connect to your legacy Java back-end frustration-free, giving your web app an instant facelift that your customers will love.;Andres Galante;Developer Community Day: Community;Conference Session;Intermediate;Java developers are often frustrated with the results they get when trying to design web apps. In the words of Java Champion Bruno Souza, “we always do ugly things... always.” In this session learn a five-step lesson on how to get from a blank page to a fully responsive, mobile-first, accessible dashboard ready to use on enterprise applications. And discover how to apply it on your existing Java web codebase. The session also covers how to use Bootstrap, the world’s most popular front-end component library, and explores Patternfly, a Bootstrap-based UI framework for enterprise web applications. Come away understanding how to connect to your legacy Java back-end frustration-free, giving your web app an instant facelift that your customers will love.
1505255284753001aa5h;Learn the Concepts Behind Those 10 Java Challenges and Eliminate Stressful Bugs;Bugs are a daily stress in our work as Java developers. Those pesky bugs hide behind important Java concepts, there is no way out of this. But can we have fun hunting them? How about solving a series of Java puzzles and challenges as a way to learn concepts and save a lot of time finding those tricky bugs? In this session attendees solve fun Java challenges and gain a clear understanding of what causes the most stressful Java bugs—and have fun eliminating them from your projects.;Rafael Chinelato Del Nero rafaDelNero;Developer Community Day: Community;Conference Session;Intermediate;Bugs are a daily stress in our work as Java developers. Those pesky bugs hide behind important Java concepts, there is no way out of this. But can we have fun hunting them? How about solving a series of Java puzzles and challenges as a way to learn concepts and save a lot of time finding those tricky bugs? In this session attendees solve fun Java challenges and gain a clear understanding of what causes the most stressful Java bugs—and have fun eliminating them from your projects.
149357880659700185Hb;JGrounds: Playgrounds App for Java;Java is one of the most relevant languages and among the most powerful software platforms that exist today. Using Java for primary programming education is challenging, however, due to the complexity of the language and existing IDEs. Instead of teaching “toy” languages at the beginning, we need the right interactive tools for teaching Java. This BoF session discusses the present and the future of the JGrounds app and related projects. The JGrounds app features interesting story-based introductions to various topics. Everybody is welcome to participate! We need coders, artists, and teachers. We need <i>you</i>!;Michael Hoffer;Java Development Tools;BOF (Birds-of-a-Feather) Session;Introductory;Java is one of the most relevant languages and among the most powerful software platforms that exist today. Using Java for primary programming education is challenging, however, due to the complexity of the language and existing IDEs. Instead of teaching “toy” languages at the beginning, we need the right interactive tools for teaching Java. This BoF session discusses the present and the future of the JGrounds app and related projects. The JGrounds app features interesting story-based introductions to various topics. Everybody is welcome to participate! We need coders, artists, and teachers. We need <i>you</i>!
1493711970153001seFW;Autonomous Driving and Factory Automation: JSR 282 Brings Java to New Domains;The Real-Time Specification for Java (RTSJ) is increasingly being used in control and monitoring applications such as autonomous driving and factory automation. The latest release helps drive this change. Conventional Java has made inroads into the Industrial Internet of Things (IIoT) by providing gateway functionality but cannot meet the requirements of edge analytics and system control, which require real-time response. RTSJ 2.0 bridges the gap between the requirements of the internet and device programming to produce secure, dynamic embedded systems. The RTSJ refines the semantics of the Java virtual machine and adds APIs necessary for real-time applications while retaining full compatibility with conventional Java programs. Learn more in this session.;James Hunt;Java and Devices;BOF (Birds-of-a-Feather) Session;Intermediate;The Real-Time Specification for Java (RTSJ) is increasingly being used in control and monitoring applications such as autonomous driving and factory automation. The latest release helps drive this change. Conventional Java has made inroads into the Industrial Internet of Things (IIoT) by providing gateway functionality but cannot meet the requirements of edge analytics and system control, which require real-time response. RTSJ 2.0 bridges the gap between the requirements of the internet and device programming to produce secure, dynamic embedded systems. The RTSJ refines the semantics of the Java virtual machine and adds APIs necessary for real-time applications while retaining full compatibility with conventional Java programs. Learn more in this session.
14936467492310018kOo;The Legacy Developer’s Guide to Java 9;One of the challenges of having to maintain a legacy Java application is that you might be shut out from all the fun when a new version of Java comes along. Java 9, like its predecessors, has a bunch of great new APIs and language features, but developers remembering past experiences need to know how to use those new features without breaking compatibility with earlier versions of Java. Java 9’s designers are aware of this, and they’ve worked hard to make new features accessible to developers who have to think about their applications’ support of older versions of Java. In this session, learn about Java 9 features that are ready to use even if you have an older application and that ensure that customers can run your application with ease.;Wayne Citrin;Java Development Tools;BOF (Birds-of-a-Feather) Session;Advanced;One of the challenges of having to maintain a legacy Java application is that you might be shut out from all the fun when a new version of Java comes along. Java 9, like its predecessors, has a bunch of great new APIs and language features, but developers remembering past experiences need to know how to use those new features without breaking compatibility with earlier versions of Java. Java 9’s designers are aware of this, and they’ve worked hard to make new features accessible to developers who have to think about their applications’ support of older versions of Java. In this session, learn about Java 9 features that are ready to use even if you have an older application and that ensure that customers can run your application with ease.
1493795540086001PJWy;Distinguish Pop Music from Heavy Metal with Apache Spark MLlib;Machine learning may be overhyped nowadays, but there is still a strong belief that this area is exclusively for data scientists with an in-depth mathematical background who leverage the Python or R ecosystems. Obviously, there is some truth to this statement, but Java engineers can also take the best of the machine-learning world from an applied perspective by using our native language and familiar frameworks such as Apache Spark. This presentation explains how to use Apache Spark MLlib to build, step by step, a supervised learning NLP pipeline to distinguish pop music from heavy metal—and have fun in the process. Along the way, you’ll get an overview of the simplest machine-learning tasks and algorithms as well as feature extraction approaches.;Taras Matyashovskyy;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;BOF (Birds-of-a-Feather) Session;Introductory;Machine learning may be overhyped nowadays, but there is still a strong belief that this area is exclusively for data scientists with an in-depth mathematical background who leverage the Python or R ecosystems. Obviously, there is some truth to this statement, but Java engineers can also take the best of the machine-learning world from an applied perspective by using our native language and familiar frameworks such as Apache Spark. This presentation explains how to use Apache Spark MLlib to build, step by step, a supervised learning NLP pipeline to distinguish pop music from heavy metal—and have fun in the process. Along the way, you’ll get an overview of the simplest machine-learning tasks and algorithms as well as feature extraction approaches.
